분류,태그,제목,URL,아티클 작성 일자,추천 사유,작성자
소프트스킬,기획," 모두가 알지만 누구도 제대로 쓰지 못하는, PRD",https://yozm.wishket.com/magazine/detail/2826/,11/01/2024,,
소프트스킬,비즈니스,"‘소셜’ 지워지는 소셜미디어, 이대로 끝나는 걸까?",https://yozm.wishket.com/magazine/detail/3243/,07/17/2025,,
소프트스킬,"기획, 커뮤니케이션, 협업",서비스 기획자의 뷰티컬리로 확장하기,https://helloworld.kurly.com/blog/expand-to-Beauty-Kurly/,07/06/2023,실제로 서비스를 오픈할 때의 PM의 사고 방식을 알 수 있다.,
소프트스킬,기획,무신사는 왜 PC버전 서비스를 하지 않는걸까?,https://yozm.wishket.com/magazine/detail/2659/,07/04/2024,이래서 초기 기획 단계에서는 PC버전 모바일버전 모두 생각해야해요!,
소프트스킬,"기획, 커뮤니케이션, 협업","PO 미신, 파랑새를 찾아서 - CPO 김용훈",https://www.youtube.com/watch?v=u5MaPf6nntw,01/27/2025,"기획자, PM, PO 어떻게 다를까요?",
소프트스킬,취업,웬만하면 다 통하는 PM 면접 방법론 + 질문 리스트,https://brunch.co.kr/@jiseonchoi/41,01/27/2025,"짧지만 강하다! 
이 작가의 다른 글도 꼭 읽어보시길 추천합니다. 우리는 취준생이니까 😂",
소프트스킬,문제해결역량,팀프로젝트 성패는 PM에게 달려있다,https://www.dailypop.kr/news/articleView.html?idxno=81401,01/14/2025,"PM이 왜 중요한가 ",
소프트스킬,문제해결역량,프로덕트 매니저(PM)가 되는 법,https://www.fortunekorea.co.kr/news/articleView.html?idxno=43003,01/14/2025,"PM이 되기 위한 준비.  실무 경험을 쌓을 수 있는 방법에 대해 알아봅니다. ",
소프트스킬,"기획, 문제해결역량",[채용공고 톺아보기] #4 서비스 기획 포폴 꿀팁?,https://brunch.co.kr/@13335218e68a4e8/90,01/10/2025,"우리가 하는 일에 대한 기본 정의와 이해
그리고 채용준비까지.",
소프트스킬,커뮤니케이션,어느 면접관 입장에서 인상적이었던 지원자의 질문,https://www.linkedin.com/feed/update/urn:li:activity:7272158158150668289/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A7272158158150668289%2C7278404254166368256)&dashCommentUrn=urn%3Ali%3Afsd_comment%3A(7278404254166368256%2Curn%3Ali%3Aactivity%3A7272158158150668289),01/06/2025,"풀무원 상무님의 진짜 면접 이야기
(feat. 튜터가 직접 물어봄)",
소프트스킬,커뮤니케이션,개발자가 안된다고 말했다,https://velog.io/@okko8522/%EC%98%A4%EB%8A%98%EB%8F%84-%EA%B0%9C%EB%B0%9C%EC%9E%90%EA%B0%80-%EC%95%88-%EB%90%9C%EB%8B%A4%EA%B3%A0-%EB%A7%90%ED%96%88%EB%8B%A4,11/27/2022,개발자와 소통을 하며 관점의 차이를 잘 정리하였습니다.  추가로 진짜 현업에 쓰이는 일들이 적혀 있어요!,
소프트스킬,커뮤니케이션,주니어 서비스 기획자에게 필요한 진짜 개발 지식,https://brunch.co.kr/@newbyeol/11,04/23/2020,이 정도만 알아도 IT프로젝트 베이스를 알수있다 봐야죠,
소프트스킬,커뮤니케이션,"개발 커뮤니케이션 -API, Json",https://de-developer.tistory.com/20,04/21/2019,추가로 기능을 개발하거나 업데이트 할 때 API 를 자주 사용 할 수 있어요. 개념이라도 알고 있으면 좋을 것 같아요,
소프트스킬,디자인,UI나 UX나 그게 그거 아니야?,https://rbworld.tistory.com/130,03/14/2021,네모세모 사용해서 스케치를 그려주는 작업도 은근 많아요,
